Date,DIA.US.Index,CNYUSD.Curncy,EURUSD.Curncy,GDX.US.Equity,VIX.Index,VVIX.Index,SHCOMP.Index,TWSE.Index,SPX.Index,ADS_Index,Google trends,Sentiment Score,Bitcoin Core (BTC) Price
31/07/2019,268.52,0.14526,1.1076,26.5,16.12,96.28,2932.506,10823.81,2980.38,-0.136816,56,0,9587.09
01/08/2019,265.76,0.14495,1.1085,27.85,17.87,105.47,2908.766,10731.75,2953.56,-0.110825,55,0,9970.3
02/08/2019,264.81,0.14409,1.1108,27.77,17.61,102.69,2867.838,10549.04,2932.05,-0.0861843,61,0,10299.08
05/08/2019,257.1,0.14183,1.1203,28.6,24.59,114.4,2821.496,10423.41,2844.74,-0.0201789,85,0,10896.73
06/08/2019,260.29,0.14232,1.1199,28.67,20.17,107.45,2777.556,10394.75,2881.77,-0.000637757,90,0,11638.1
07/08/2019,260.24,0.14164,1.1199,29.26,19.49,104.27,2768.679,10386.18,2883.98,0.0177027,76,0,11617.47
08/08/2019,264.13,0.14194,1.118,29.77,16.91,98.66,2794.552,10494.49,2938.09,0.0348482,69,2.4524,11871.94
09/08/2019,263.18,0.14159,1.12,29.36,17.97,101.52,2774.753,10494.49,2918.65,0.0508039,64,0,11886.12
12/08/2019,259.4,0.14168,1.1214,29,21.09,110.31,2814.994,10472.36,2883.75,0.0905781,60,0,11442.97
13/08/2019,263.17,0.14197,1.1171,28.45,17.52,102.21,2797.26,10362.66,2926.32,0.0998174,62,0,11390.89
14/08/2019,255.08,0.14236,1.1139,28.41,22.1,113.99,2808.915,10427.73,2840.6,0.106886,70,3.0563,10986.09
15/08/2019,256.36,0.14217,1.1107,28.73,21.18,112.26,2815.798,10327.13,2847.6,0.111786,75,0,10211.76
16/08/2019,258.88,0.14199,1.109,28.28,18.47,110.32,2823.824,10420.89,2888.68,0.114518,61,0,10137.8
19/08/2019,261.34,0.14183,1.1078,27.93,16.88,101.22,2883.096,10488.75,2923.65,0.110722,57,0,10307.97
20/08/2019,259.69,0.14163,1.11,28.85,17.5,104.77,2880.001,10522.5,2900.51,0.106796,57,0,10766.41
21/08/2019,262.03,0.14158,1.1085,28.7,15.8,98.03,2880.331,10525.8,2924.43,0.101707,61,0,10765.66
22/08/2019,262.56,0.14117,1.108,28.49,16.68,100.94,2883.436,10529.78,2922.95,0.095452,57,0,10229.67
23/08/2019,256.29,0.14092,1.1144,29.64,19.87,111.37,2897.425,10538.11,2847.11,0.0880294,51,0,10056.87
26/08/2019,259.1,0.13983,1.1102,29.64,19.32,106.27,2863.567,10354.57,2878.38,0.0580224,48,0,10131.52
27/08/2019,257.8,0.13962,1.109,30.56,20.31,106.49,2902.193,10387.23,2869.16,0.0444846,52,0,10386.41
28/08/2019,260.39,0.13956,1.1078,30.41,19.35,103.95,2893.756,10434.29,2887.94,0.0290543,54,0,10188.63
29/08/2019,263.9,0.13997,1.1057,29.66,17.88,99.8,2890.919,10462.43,2924.58,0.0117269,60,0,9820.24
30/08/2019,264.13,0.13973,1.0982,29.86,18.98,102.66,2886.237,10618.05,2926.46,-0.0075028,48,0,9507.72
02/09/2019,264.13,0.13943,1.097,29.86,18.98,102.66,2924.106,10634.85,2926.46,-0.0748775,51,0,9732.61
03/09/2019,261.42,0.1393,1.0974,30.37,19.66,102.19,2930.154,10558.21,2906.27,-0.0981999,61,0.4023,10251.17
04/09/2019,263.93,0.13994,1.1035,30.95,17.33,97.3,2957.412,10657.31,2937.78,-0.121668,54,0.4404,10581.42
05/09/2019,267.68,0.13989,1.1035,29.31,16.27,95.51,2985.865,10756.93,2976,-0.145288,48,0,10596.78
06/09/2019,268.32,0.14053,1.1029,28.48,15,94.4,2999.601,10780.64,2978.71,-0.169069,49,0,10568.73
09/09/2019,268.8,0.14041,1.1048,27.73,15.27,94.5,3024.739,10801.14,2978.43,-0.241249,43,0.6597,10410.64
10/09/2019,269.39,0.1406,1.1043,27.51,15.2,94.12,3021.202,10753.58,2979.39,-0.265357,43,0,10309.37
11/09/2019,271.69,0.14051,1.101,27.72,14.61,97.79,3008.812,10790.35,3000.93,-0.289468,43,13.2655,10129.36
12/09/2019,272.32,0.14125,1.1065,27.27,14.22,95.94,3031.235,10827.55,3009.57,-0.313591,43,0,10113.95
13/09/2019,272.6,0.14125,1.1073,26.64,13.74,98.93,3031.235,10827.55,3007.39,-0.337732,39,0,10341.2
16/09/2019,271.17,0.1415,1.1001,27.29,14.67,101.73,3030.754,10898.13,2997.96,-0.410142,40,9.7217,10317.79
17/09/2019,271.56,0.14101,1.1073,28.12,14.44,101.67,2978.118,10874.5,3005.7,-0.434033,40,0,10247.44
18/09/2019,271.97,0.14112,1.103,27.62,13.95,99.09,2985.659,10929.45,3006.73,-0.457779,39,0,10202.19
19/09/2019,271.42,0.14092,1.1041,28.1,14.05,97.3,2999.279,10894.7,3006.79,-0.481389,41,0,10161.78
20/09/2019,269.25,0.14101,1.1017,28.69,15.32,101.03,3006.447,10929.69,2992.07,-0.50487,39,0,10142.19
23/09/2019,269.36,0.14048,1.0993,29.16,14.91,97.6,2977.077,10919.02,2991.78,-0.57449,42,0,10002.75
24/09/2019,267.97,0.14052,1.102,29.49,17.05,104.96,2985.341,10918.01,2966.6,-0.597289,65,0,9761.31
25/09/2019,269.58,0.14022,1.0943,28.43,15.96,99.68,2955.433,10873.69,2984.87,-0.619876,78,0,8730.06
26/09/2019,268.88,0.1402,1.0921,28.11,16.07,100.31,2929.087,10871.99,2977.62,-0.642258,73,0,8458.13
27/09/2019,267.99,0.14039,1.094,27.45,17.22,103.2,2932.167,10829.68,2961.79,-0.664443,60,0,8085.85
30/09/2019,269.18,0.13989,1.0899,26.71,16.24,97.62,2905.189,10829.68,2976.74,-0.730154,52,0,8070.25
01/10/2019,265.5,0.13989,1.0933,26.92,18.56,102.74,2905.189,10967.65,2940.25,-0.752169,48,0,8175.83
02/10/2019,260.72,0.13989,1.0959,27.41,20.56,103.81,2905.189,10947.88,2887.61,-0.772193,45,0,8346.33
03/10/2019,262.01,0.13989,1.0965,27.25,19.12,98.2,2905.189,10875.91,2910.63,-0.790231,44,0,8335.25
04/10/2019,265.66,0.13989,1.0979,27.87,17.04,95.19,2905.189,10894.48,2952.01,-0.806289,40,0,8239.99
07/10/2019,264.74,0.13989,1.0971,27.58,17.86,97.04,2905.189,10935.06,2938.79,-0.842552,42,0,7923.52
08/10/2019,261.58,0.13997,1.0957,28.36,20.28,102.27,2913.57,11017.31,2893.06,-0.850576,41,0,8130.56
09/10/2019,263.43,0.14021,1.0971,28.05,18.64,101.25,2924.857,10889.96,2919.4,-0.85656,44,0,8208.47
10/10/2019,265.01,0.14052,1.1005,28.05,17.57,99.66,2947.711,10889.96,2938.13,-0.860505,41,0,8503.69
11/10/2019,268.16,0.14108,1.1042,26.97,15.58,97.7,2973.656,10889.96,2970.27,-0.862414,39,0,8574.35
14/10/2019,267.86,0.14149,1.1027,27.07,14.57,94.43,3007.883,11066.95,2966.15,-0.856182,37,0,8298.99
15/10/2019,270.22,0.14121,1.1033,26.19,13.54,93.98,2991.046,11111.8,2995.68,-0.850467,40,0,8337.72
16/10/2019,270.08,0.14097,1.1072,26.71,13.68,93.16,2978.712,11162.83,2989.69,-0.842975,40,1.1494,8209
17/10/2019,270.38,0.14129,1.1125,27.08,13.79,90.27,2977.334,11186.88,2997.95,-0.833703,39,0,8027.05
18/10/2019,267.64,0.14121,1.1167,27.12,14.25,91.2,2938.141,11180.22,2986.2,-0.822649,38,0,8057.02
21/10/2019,268.21,0.14132,1.115,26.58,14,87.29,2939.618,11184.15,3006.72,-0.778212,38,0,8170.57
