#NAME?,DIA US Index,CNYUSD Curncy,EURUSD Curncy,GBTC US Equity,ETHE US Equity,LTCN US Equity,CCRIXRP Index,Lumber prices,WTI Oil
DATES,"px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)"
21/12/2020,302.14,0.15268,1.2244,30.83,21.74,399,0.5306,319.8,25.634
22/12/2020,300.07,0.15284,1.2163,30.39,23.4,392,0.4878,319.8,25.634
23/12/2020,301.28,0.15289,1.2187,28.88,19.655,365,0.3291,319.8,25.634
24/12/2020,302.02,0.15314,1.2187,27.35,16.2,295,0.2701,319.8,25.634
25/12/2020,302.02,0.15286,1.2193,27.35,16.2,295,0.3592,319.8,25.634
28/12/2020,304,0.15297,1.2216,30.45,16.9,310,0.2902,319.8,25.634
29/12/2020,303.46,0.15312,1.2249,30.08,15.96,360,0.1854,319.8,25.634
30/12/2020,304.13,0.1533,1.2298,32.9,17.06,360,0.2278,319.8,25.634
31/12/2020,305.79,0.15321,1.2216,32,15.5,291.0001,0.216,319.8,25.634
01/01/2021,305.79,0.15321,1.2215,32,15.5,291.0001,0.2397,319.8,25.634
04/01/2021,302.32,0.15476,1.2248,35.08,12,340,0.2324,319.8,25.634
05/01/2021,303.84,0.15489,1.2298,39.41,13.79,310,0.2279,319.8,25.634
06/01/2021,308.21,0.15473,1.2327,43.93,14.79,368,0.2497,319.8,25.634
07/01/2021,310.5,0.15437,1.2272,44.97,14.615,396,0.3361,319.8,25.634
08/01/2021,311.04,0.15445,1.2218,44.42,13.76,340.02,0.3128,319.8,25.634
11/01/2021,310.17,0.15429,1.2151,37.4,12.62,296.0001,0.2721,319.8,25.634
12/01/2021,310.74,0.15471,1.2207,38.92,13.17,324.5,0.2859,319.8,25.634
13/01/2021,310.63,0.1546,1.2157,40.35,13.4,359,0.2984,319.8,25.634
14/01/2021,310.05,0.15445,1.2155,43.53,14.75,324,0.2971,319.8,25.634
15/01/2021,308.12,0.1543,1.2082,39.34,14.05,310,0.2779,319.8,25.634
18/01/2021,308.12,0.15402,1.2077,39.34,14.05,310,0.2845,319.8,25.634
19/01/2021,309.32,0.15434,1.2129,38.055,16.461,330.2501,0.3049,319.8,25.634
20/01/2021,311.77,0.15465,1.2106,35.35,15.22,330.2501,0.2876,319.8,25.634
21/01/2021,311.87,0.15475,1.2164,31.935,13.59,300,0.2763,319.8,25.634
22/01/2021,309.97,0.15428,1.2171,34.45,14.25,295,0.2749,319.8,25.634
25/01/2021,309.65,0.15432,1.2139,33.05,14.88,329.9899,0.2788,319.8,25.634
26/01/2021,309.39,0.15468,1.216,31.487,15.25,329.9899,0.263,319.8,25.634
27/01/2021,303.26,0.15424,1.2111,31.361,14.25,280,0.2501,319.8,25.634
28/01/2021,306.07,0.15505,1.2122,33.645,15.3,279.8999,0.2631,319.8,25.634
29/01/2021,299.81,0.15556,1.2136,34.69,14.92,262.0001,0.2876,319.8,25.634
01/02/2021,302.02,0.15461,1.206,33.95,15.32,233,0.4246,319.8,25.634
02/02/2021,306.82,0.15486,1.2044,36.8,17.71,233,0.3855,319.8,25.634
03/02/2021,307.26,0.15475,1.2036,38.06,18.89,252.0001,0.3793,319.8,25.634
04/02/2021,310.67,0.15452,1.1964,37.96,18.98,250,0.4004,319.8,25.634
05/02/2021,311.54,0.15466,1.2046,37.88,19.72,210,0.445,319.8,25.634
08/02/2021,313.89,0.15507,1.205,45.69,20.6,319,0.4483,319.8,25.634
09/02/2021,313.92,0.15539,1.2119,47.9,20.75,274.99,0.4611,319.8,25.634
10/02/2021,314.5,0.15484,1.2118,44.95,19.02,285,0.4845,319.8,25.634
11/02/2021,314.68,0.15484,1.213,48,19.62,300,0.5258,319.8,25.634
12/02/2021,315.04,0.15484,1.212,48.91,20.51,285,0.5788,319.8,25.634
15/02/2021,315.04,0.15484,1.2129,48.91,20.51,285,0.5695,319.8,25.634
16/02/2021,315.58,0.15484,1.2106,50.3065,19.295,294.75,0.5385,319.8,25.634
17/02/2021,316.6,0.15484,1.2038,54.07,20.23,315,0.5422,319.8,25.634
18/02/2021,315.56,0.15413,1.2092,52.9,21.12,329.9,0.5321,319.8,25.634
19/02/2021,314.92,0.15485,1.2119,56.7,22.09,311.01,0.5517,319.8,25.634
22/02/2021,315.21,0.15469,1.2157,53.5,19.21,263,0.5511,319.8,25.634
23/02/2021,315.39,0.15464,1.215,45.84,16.77,277,0.4653,319.8,25.634
24/02/2021,319.53,0.15487,1.2166,48.4,16.65,319.1001,0.4671,319.8,25.634
25/02/2021,313.98,0.15492,1.2175,45.6365,15.65,307,0.4715,319.8,25.634
26/02/2021,309.45,0.15447,1.2075,43.2,15.09,305,0.4359,319.8,25.634
01/03/2021,315.59,0.15466,1.2049,45.82,16.06,304.99,0.4359,319.8,25.634
02/03/2021,314.19,0.15455,1.2091,44.12,15.07,290.03,0.442,319.8,25.634
03/03/2021,312.99,0.15461,1.2063,46.16,15.49,266,0.4462,319.8,25.634
04/03/2021,309.58,0.15456,1.1969,41.4,14.5,250,0.457,319.8,25.634
05/03/2021,315.24,0.15392,1.1915,43.8,15.105,248.9999,0.4627,319.8,25.634
