Date,Trend
02-01-2018,54
03-01-2018,54
04-01-2018,51
05-01-2018,50
06-01-2018,46
07-01-2018,44
08-01-2018,51
09-01-2018,49
10-01-2018,48
11-01-2018,58
12-01-2018,46
13-01-2018,40
14-01-2018,36
15-01-2018,37
16-01-2018,74
17-01-2018,100
18-01-2018,70
19-01-2018,49
20-01-2018,42
21-01-2018,38
22-01-2018,45
23-01-2018,44
24-01-2018,40
25-01-2018,38
26-01-2018,40
27-01-2018,32
28-01-2018,30
29-01-2018,31
30-01-2018,36
31-01-2018,38
01-02-2018,47
02-02-2018,65
03-02-2018,42
04-02-2018,35
05-02-2018,65
06-02-2018,82
07-02-2018,52
08-02-2018,42
09-02-2018,37
10-02-2018,30
11-02-2018,28
12-02-2018,31
13-02-2018,27
14-02-2018,29
15-02-2018,30
16-02-2018,28
17-02-2018,26
18-02-2018,27
19-02-2018,25
20-02-2018,29
21-02-2018,28
22-02-2018,26
23-02-2018,22
24-02-2018,20
25-02-2018,19
26-02-2018,21
27-02-2018,22
28-02-2018,20
01-03-2018,19
02-03-2018,20
03-03-2018,18
04-03-2018,16
05-03-2018,19
06-03-2018,19
07-03-2018,21
08-03-2018,21
09-03-2018,24
10-03-2018,17
11-03-2018,17
12-03-2018,19
13-03-2018,18
14-03-2018,21
15-03-2018,24
16-03-2018,20
17-03-2018,17
18-03-2018,21
19-03-2018,21
20-03-2018,19
21-03-2018,19
22-03-2018,18
23-03-2018,17
24-03-2018,13
25-03-2018,13
26-03-2018,20
27-03-2018,18
28-03-2018,16
29-03-2018,20
30-03-2018,23
31-03-2018,15
01-04-2018,17
02-04-2018,19
03-04-2018,17
04-04-2018,17
05-04-2018,18
06-04-2018,19
07-04-2018,13
08-04-2018,12
09-04-2018,16
10-04-2018,15
11-04-2018,15
12-04-2018,18
13-04-2018,19
14-04-2018,12
15-04-2018,12
16-04-2018,14
17-04-2018,14
18-04-2018,14
19-04-2018,14
20-04-2018,15
21-04-2018,12
22-04-2018,12
23-04-2018,15
24-04-2018,18
25-04-2018,16
26-04-2018,14
27-04-2018,12
28-04-2018,10
29-04-2018,10
30-04-2018,12
01-05-2018,11
02-05-2018,11
03-05-2018,13
04-05-2018,12
05-05-2018,11
06-05-2018,10
07-05-2018,12
08-05-2018,12
09-05-2018,11
10-05-2018,11
11-05-2018,14
12-05-2018,10
13-05-2018,9
14-05-2018,12
15-05-2018,11
16-05-2018,11
17-05-2018,10
18-05-2018,10
19-05-2018,8
20-05-2018,9
21-05-2018,9
22-05-2018,10
23-05-2018,13
24-05-2018,13
25-05-2018,10
26-05-2018,8
27-05-2018,9
28-05-2018,9
29-05-2018,10
30-05-2018,9
31-05-2018,9
01-06-2018,8
02-06-2018,8
03-06-2018,8
04-06-2018,8
05-06-2018,9
06-06-2018,8
07-06-2018,8
08-06-2018,8
09-06-2018,8
10-06-2018,10
11-06-2018,16
12-06-2018,12
13-06-2018,14
14-06-2018,12
15-06-2018,9
16-06-2018,8
17-06-2018,8
18-06-2018,9
19-06-2018,9
20-06-2018,9
21-06-2018,8
22-06-2018,10
23-06-2018,9
24-06-2018,10
25-06-2018,10
26-06-2018,9
27-06-2018,8
28-06-2018,8
29-06-2018,11
30-06-2018,9
01-07-2018,38
02-07-2018,43
03-07-2018,41
04-07-2018,40
05-07-2018,41
06-07-2018,38
07-07-2018,32
08-07-2018,36
09-07-2018,37
10-07-2018,39
11-07-2018,36
12-07-2018,39
13-07-2018,38
14-07-2018,34
15-07-2018,33
16-07-2018,40
17-07-2018,54
18-07-2018,65
19-07-2018,49
20-07-2018,45
21-07-2018,40
22-07-2018,38
23-07-2018,45
24-07-2018,71
25-07-2018,63
26-07-2018,50
27-07-2018,50
28-07-2018,41
29-07-2018,39
30-07-2018,46
31-07-2018,46
01-08-2018,45
02-08-2018,41
03-08-2018,43
04-08-2018,41
05-08-2018,39
06-08-2018,43
07-08-2018,44
08-08-2018,60
09-08-2018,49
10-08-2018,45
11-08-2018,45
12-08-2018,39
13-08-2018,45
14-08-2018,62
15-08-2018,50
16-08-2018,44
17-08-2018,41
18-08-2018,37
19-08-2018,36
20-08-2018,38
21-08-2018,42
22-08-2018,46
23-08-2018,41
24-08-2018,39
25-08-2018,37
26-08-2018,35
27-08-2018,39
28-08-2018,48
29-08-2018,43
30-08-2018,40
31-08-2018,40
01-09-2018,38
02-09-2018,39
03-09-2018,39
04-09-2018,42
05-09-2018,56
06-09-2018,65
07-09-2018,46
08-09-2018,38
09-09-2018,37
10-09-2018,39
11-09-2018,42
12-09-2018,45
13-09-2018,43
14-09-2018,39
15-09-2018,35
16-09-2018,34
17-09-2018,37
18-09-2018,37
19-09-2018,37
20-09-2018,37
21-09-2018,40
22-09-2018,35
23-09-2018,35
24-09-2018,36
25-09-2018,36
26-09-2018,37
27-09-2018,36
28-09-2018,36
29-09-2018,32
30-09-2018,32
01-10-2018,32
02-10-2018,35
03-10-2018,34
04-10-2018,34
05-10-2018,33
06-10-2018,30
07-10-2018,28
08-10-2018,33
09-10-2018,33
10-10-2018,35
11-10-2018,44
12-10-2018,36
13-10-2018,32
14-10-2018,32
15-10-2018,40
16-10-2018,36
17-10-2018,35
18-10-2018,34
19-10-2018,33
20-10-2018,31
21-10-2018,30
22-10-2018,32
23-10-2018,32
24-10-2018,33
25-10-2018,33
26-10-2018,31
27-10-2018,28
28-10-2018,28
29-10-2018,32
30-10-2018,33
31-10-2018,35
01-11-2018,34
02-11-2018,33
03-11-2018,30
04-11-2018,33
05-11-2018,34
06-11-2018,35
07-11-2018,34
08-11-2018,33
09-11-2018,33
10-11-2018,30
11-11-2018,28
12-11-2018,32
13-11-2018,33
14-11-2018,55
15-11-2018,66
16-11-2018,43
17-11-2018,37
18-11-2018,36
19-11-2018,67
20-11-2018,100
21-11-2018,77
22-11-2018,49
23-11-2018,56
24-11-2018,46
25-11-2018,80
26-11-2018,81
27-11-2018,76
28-11-2018,66
29-11-2018,55
30-11-2018,48
01-12-2018,41
02-12-2018,36
03-12-2018,47
04-12-2018,45
05-12-2018,44
06-12-2018,47
07-12-2018,72
08-12-2018,46
09-12-2018,42
10-12-2018,44
11-12-2018,46
12-12-2018,43
13-12-2018,43
14-12-2018,47
15-12-2018,42
16-12-2018,39
17-12-2018,51
18-12-2018,50
19-12-2018,55
20-12-2018,57
21-12-2018,46
22-12-2018,40
23-12-2018,40
24-12-2018,46
25-12-2018,43
26-12-2018,41
