#NAME?,GDX US Equity,VIX Index,VVIX Index,SHCOMP Index,TWSE Index,SPX Index,,,,,,
DATES,"px_last(dates=range(2015-01-01,2021-12-31),fill=prev)","px_last(dates=range(2015-01-01,2021-12-31),fill=prev)","px_last(dates=range(2015-01-01,2021-12-31),fill=prev)","px_last(dates=range(2015-01-01,2021-12-31),fill=prev)","px_last(dates=range(2015-01-01,2021-12-31),fill=prev)","px_last(dates=range(2015-01-01,2021-12-31),fill=prev)",,,,,,
28/11/2016,21.4,13.15,86.17,3277,9222.24,2201.72,,,,,,
29/11/2016,21.23,12.9,86.28,3282.924,9192.38,2204.66,,,,,,
30/11/2016,20.83,13.33,88.99,3250.035,9240.71,2198.81,,,,,,
01/12/2016,20.66,14.07,97.79,3273.309,9263.53,2191.08,,,,,,
02/12/2016,21.37,14.12,98.07,3243.843,9189.49,2191.95,,,,,,
05/12/2016,21.33,12.14,88.88,3204.709,9160.66,2204.71,,,,,,
06/12/2016,21.2,11.79,88.12,3199.647,9250.77,2212.23,,,,,,
07/12/2016,21.44,12.22,89.11,3222.242,9263.89,2241.35,,,,,,
08/12/2016,21.46,12.64,91.27,3215.366,9375.86,2246.19,,,,,,
09/12/2016,20.67,11.75,89.4,3232.884,9392.68,2259.53,,,,,,
12/12/2016,20.75,12.64,91.87,3152.97,9349.94,2256.96,,,,,,
13/12/2016,21.04,12.72,93.32,3155.037,9382.14,2271.72,,,,,,
14/12/2016,19.89,13.19,96.82,3140.531,9368.52,2253.28,,,,,,
15/12/2016,18.99,12.79,93.08,3117.677,9360.35,2262.03,,,,,,
16/12/2016,19.08,12.2,93.79,3122.981,9326.78,2258.07,,,,,,
19/12/2016,19.08,11.71,90.51,3118.085,9239.32,2262.53,,,,,,
20/12/2016,19.13,11.45,88.26,3102.876,9242.41,2270.76,,,,,,
21/12/2016,19.09,11.27,87.97,3137.43,9204.26,2265.18,,,,,,
22/12/2016,19.07,11.43,89.72,3139.558,9118.75,2260.96,,,,,,
23/12/2016,19.34,11.44,87.64,3110.154,9078.64,2263.79,,,,,,
26/12/2016,19.34,11.44,87.64,3122.569,9110.54,2263.79,,,,,,
27/12/2016,19.87,11.99,86.37,3114.664,9109.27,2268.88,,,,,,
28/12/2016,20.24,12.95,89.17,3102.236,9201.4,2249.92,,,,,,
29/12/2016,21.75,13.37,88.87,3096.097,9153.09,2249.26,,,,,,
30/12/2016,20.92,14.04,91.6,3103.637,9253.5,2238.83,,,,,,
02/01/2017,20.92,14.04,91.6,3103.637,9253.5,2238.83,,,,,,
03/01/2017,21.76,12.85,85.37,3135.921,9272.88,2257.83,,,,,,
04/01/2017,21.92,11.85,82.27,3158.794,9286.96,2270.75,,,,,,
05/01/2017,23.2,11.67,81.33,3165.411,9358.14,2269,,,,,,
06/01/2017,22.39,11.32,80.59,3154.321,9372.22,2276.98,,,,,,
09/01/2017,22.46,11.56,83.47,3171.236,9342.42,2268.9,,,,,,
10/01/2017,22.62,11.49,86.36,3161.671,9349.64,2268.9,,,,,,
11/01/2017,22.57,11.26,86.72,3136.754,9345.74,2275.32,,,,,,
12/01/2017,22.62,11.54,90.44,3119.289,9410.18,2270.44,,,,,,
