Date,Sentiment
16-07-2011,0.743
18-07-2011,0
19-07-2011,-0.0258
19-07-2011,0.7269
21-07-2011,0.5013
22-07-2011,0
24-07-2011,0.5267
28-07-2011,-0.5423
29-07-2011,0
29-07-2011,0
29-07-2011,0.765
29-07-2011,0.3182
29-07-2011,-0.0498
29-07-2011,0.8625
02-08-2011,0.2023
03-08-2011,0.2023
07-08-2011,0.3612
09-08-2011,0
10-08-2011,0
11-08-2011,0
17-08-2011,-0.5994
21-08-2011,-0.8218
27-08-2011,0
28-08-2011,0
28-08-2011,0
29-08-2011,0.9001
03-09-2011,0
13-09-2011,0
21-09-2011,0.4019
21-09-2011,0.2023
22-09-2011,0.8126
22-09-2011,0
24-09-2011,0
24-09-2011,0.802
25-09-2011,0
27-09-2011,0.7964
28-09-2011,0.5994
28-09-2011,0.5994
03-10-2011,0
06-10-2011,0.0772
07-10-2011,0.2023
08-10-2011,0.3612
11-10-2011,0.4404
12-10-2011,0.3182
12-10-2011,0.5233
12-10-2011,0.5233
12-10-2011,0.5233
13-10-2011,0.5423
15-10-2011,0.9313
16-10-2011,0.5267
23-10-2011,0.7351
24-10-2011,0
26-10-2011,0
27-10-2011,0.6705
01-11-2011,0
02-11-2011,0
04-11-2011,0
08-11-2011,0
09-11-2011,0
09-11-2011,0.0258
09-11-2011,-0.128
09-11-2011,0
09-11-2011,0
09-11-2011,0
09-11-2011,0
09-11-2011,0.4404
09-11-2011,0
09-11-2011,0
09-11-2011,0
09-11-2011,0
09-11-2011,-0.25
09-11-2011,0.3182
09-11-2011,0
09-11-2011,0
09-11-2011,0
09-11-2011,0
09-11-2011,0.1531
09-11-2011,0
09-11-2011,0.3182
09-11-2011,0
09-11-2011,0
09-11-2011,0
09-11-2011,0
09-11-2011,-0.128
09-11-2011,0.5106
09-11-2011,0
09-11-2011,0.8176
09-11-2011,0
09-11-2011,0
09-11-2011,0.4939
09-11-2011,0.34
09-11-2011,0
09-11-2011,0
09-11-2011,0
09-11-2011,0
09-11-2011,0.4404
09-11-2011,0.4404
09-11-2011,0.3182
09-11-2011,0.6705
09-11-2011,0
09-11-2011,0
09-11-2011,0
09-11-2011,0.802
09-11-2011,0
09-11-2011,0
09-11-2011,0
09-11-2011,0.802
09-11-2011,0
09-11-2011,-0.25
09-11-2011,0
09-11-2011,0
09-11-2011,0
09-11-2011,-0.128
10-11-2011,0
10-11-2011,0.4019
12-11-2011,0
14-11-2011,0
15-11-2011,0
19-11-2011,0.7964
21-11-2011,0.2263
23-11-2011,0
26-11-2011,0
26-11-2011,0
30-11-2011,0
04-12-2011,0
09-12-2011,0
18-12-2011,0.4019
19-12-2011,-0.1027
21-12-2011,0
22-12-2011,-0.5216
01-01-2012,-0.7506
02-01-2012,0
05-01-2012,0.2023
06-01-2012,0
09-01-2012,0.7387
09-01-2012,-0.4939
09-01-2012,-0.6486
09-01-2012,0
09-01-2012,0.7096
10-01-2012,-0.3182
10-01-2012,0.2023
10-01-2012,0.2023
10-01-2012,0.2023
10-01-2012,0.4939
10-01-2012,0.2023
10-01-2012,0.2023
10-01-2012,0.2023
10-01-2012,0.3818
10-01-2012,0.5859
10-01-2012,0.2023
11-01-2012,0
11-01-2012,0
12-01-2012,0
14-01-2012,0
16-01-2012,0
16-01-2012,0
16-01-2012,0.7964
16-01-2012,0.7964
19-01-2012,0
27-01-2012,-0.5267
30-01-2012,0
30-01-2012,0
03-02-2012,0.6249
03-02-2012,0.4404
03-02-2012,0.296
05-02-2012,0
05-02-2012,0
09-02-2012,0.34
17-02-2012,0.2023
18-02-2012,0.0258
19-02-2012,0
21-02-2012,0
24-02-2012,0.6249
25-02-2012,0
27-02-2012,0.6369
28-02-2012,0
02-03-2012,0.3054
05-03-2012,0
05-03-2012,0.1779
08-03-2012,0.3523
15-03-2012,0.4404
15-03-2012,-0.1027
15-03-2012,0
16-03-2012,-0.4215
20-03-2012,0
20-03-2012,0
20-03-2012,0
20-03-2012,0
20-03-2012,0
22-03-2012,-0.2263
25-03-2012,0
30-03-2012,0
30-03-2012,0
01-04-2012,0.0258
05-04-2012,0.7964
09-04-2012,0
09-04-2012,0.5719
10-04-2012,0.4939
11-04-2012,0.4215
11-04-2012,0
14-04-2012,0.3182
15-04-2012,0.5994
15-04-2012,-0.5414
15-04-2012,0
19-04-2012,0.7906
19-04-2012,0.5267
25-04-2012,0
25-04-2012,0
25-04-2012,0
27-04-2012,0.7964
28-04-2012,0.7506
28-04-2012,-0.4215
28-04-2012,0.8885
30-04-2012,0.4404
30-04-2012,0
01-05-2012,0
03-05-2012,0
04-05-2012,0.2023
05-05-2012,-0.4215
05-05-2012,0
05-05-2012,0
05-05-2012,0.6249
06-05-2012,0
06-05-2012,0
06-05-2012,0.2732
06-05-2012,0
06-05-2012,0
12-05-2012,-0.2732
12-05-2012,-0.4404
14-05-2012,0
18-05-2012,0
24-05-2012,0
24-05-2012,0.3612
27-05-2012,-0.1027
27-05-2012,-0.1027
27-05-2012,0.5106
27-05-2012,-0.1027
28-05-2012,0
02-06-2012,0
02-06-2012,0
05-06-2012,0
05-06-2012,0
05-06-2012,0
05-06-2012,0
05-06-2012,0
05-06-2012,0
05-06-2012,0
05-06-2012,0
05-06-2012,0
05-06-2012,0
05-06-2012,0.7351
05-06-2012,0
05-06-2012,0
05-06-2012,0
05-06-2012,0
05-06-2012,0
05-06-2012,0
05-06-2012,0
05-06-2012,0
05-06-2012,0
05-06-2012,0
05-06-2012,0
05-06-2012,0
05-06-2012,0
05-06-2012,0
05-06-2012,0
05-06-2012,0
05-06-2012,0
05-06-2012,0
05-06-2012,0
05-06-2012,0
05-06-2012,0
05-06-2012,0
05-06-2012,0
05-06-2012,0
